view,track_id,start_frame,end_frame,start_time,end_time,num_detections
view3,4835,2883,2925,115.32,117.00,24
view3,4839,2887,2893,115.48,115.72,7
view3,4857,2920,2926,116.80,117.04,6
view3,4863,2925,2952,117.00,118.08,2
view3,4869,2940,3022,117.60,120.88,81
view3,4875,2946,2947,117.84,117.88,2
view3,4879,2953,3549,118.12,141.96,514
view3,4888,2979,2988,119.16,119.52,9
view3,4895,3039,3042,121.56,121.68,4
view3,4896,3042,3119,121.68,124.76,75
view3,4898,3046,3087,121.84,123.48,41
view3,4900,3058,3058,122.32,122.32,1
view3,4905,3085,3173,123.40,126.92,28
view3,4911,3105,3105,124.20,124.20,1
view3,4916,3111,3423,124.44,136.92,247
view3,4922,3119,3149,124.76,125.96,13
view3,4939,3173,3324,126.92,132.96,124
view3,4973,3246,3404,129.84,136.16,149
view3,4999,3348,3499,133.92,139.96,124
view3,5006,3375,3380,135.00,135.20,6
view3,5028,3409,3463,136.36,138.52,53
view3,5032,3414,3752,136.56,150.08,338
view3,5044,3446,3446,137.84,137.84,1
view3,5057,3513,3912,140.52,156.48,372
view3,5062,3519,3523,140.76,140.92,3
view3,5066,3527,3645,141.08,145.80,81
view3,5075,3559,3572,142.36,142.88,9
view3,5078,3565,3634,142.60,145.36,40
view3,5099,3607,3611,144.28,144.44,2
view3,5117,3656,3703,146.24,148.12,44
view3,5126,3716,3840,148.64,153.60,110
view3,5129,3719,3823,148.76,152.92,12
view3,5132,3731,3910,149.24,156.40,170
view3,5146,3783,3853,151.32,154.12,39
view3,5156,3849,3854,153.96,154.16,3
view3,5159,3860,3860,154.40,154.40,1
view3,5166,3877,3880,155.08,155.20,2
view3,5173,3885,3912,155.40,156.48,26
view3,5179,3905,3912,156.20,156.48,8
